Reduxo ID,Fulcrum ID,Date,Latitude,Longitude,Site,Space,Level,Location Description,Asset Category,Asset Sub Category,Asset Type,GPS With Arrow,Parent QR Code,QR Code,Quantity,Condition,Photo 1,Condition Ranking,Condition Point
RSP03617,edd38823-03c7-461f-b0ce-104977999031,2021-11-23,-33.869417,121.8944583,Esperance,01SMV45,Ground,External,Port Specific,Conveyer,Emergency Stop (button),No,107519,103311,1,3 - Good,RSP03617_Q103311_20211123_01.jpg,Good,3
RSP03618,0065dcd3-452e-4d43-b927-3b987fc46f6e,2021-11-23,-33.869417,121.8944583,Esperance,01SMV45,Ground,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,107519,103744,1,3 - Good,,Good,3
RSP03619,850e850f-c99b-49ef-8790-37623241e0ab,2021-11-26,-33.87269823,121.8998531,Esperance,02SMV16,Ground,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,107522,103886,1,3 - Good,,Good,3
RSP03620,8bae8a5c-5680-4259-8b9b-0f9aaad81fb8,2021-11-18,-33.873767,121.902326,Esperance,1TVS 337,Ground,Trailer,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,107323,103239,1,3 - Good,RSP03620_Q103239_20211118_01.jpg,Good,3
RSP03621,97d91e0d-d3a6-4cca-a975-47af302688a0,2021-11-18,-33.873767,121.902326,Esperance,1TVS 337,Ground,Trailer,Port Specific,Conveyer,Emergency Stop (button),No,107323,103240,1,3 - Good,RSP03621_Q103240_20211118_01.jpg,Good,3
RSP03622,81cb1e6f-2dc3-4afd-9f98-744cf1f86052,2021-11-11,-33.87366864,121.9014655,Esperance,6.6KV HV SUBSTATION 0,Ground,Comms Room,Electrical,Power Generation,UPS,No,101914,101916,1,3 - Good,RSP03622_Q101916_20211111_01.jpg,Good,3
RSP03623,6df96921-69ba-4a64-a7d4-fe82452b8ffa,2021-11-11,-33.87366864,121.9014655,Esperance,6.6KV HV SUBSTATION 0,Ground,Comms Room,Electrical,Power Generation,UPS,No,101914,101915,1,3 - Good,RSP03623_Q101915_20211111_01.jpg,Good,3
RSP03624,e72c594a-20e2-4067-909c-9a3ac3586276,2021-11-11,-33.8736639,121.9014604,Esperance,6.6KV HV SUBSTATION 0,Ground,Comms Room,Fire Equipment,Fire Detection,Smoke Detector,No,,,1,3 - Good,,Good,3
RSP03625,3f4b5474-c4b4-4492-9554-f351aa26c8bd,2021-11-11,-33.8736639,121.9014604,Esperance,6.6KV HV SUBSTATION 0,Ground,Comms Room,HVAC,Air Conditioning,Indoor Fan Unit (Split) - Wall Mounted,No,,No QR Code,1,3 - Good,RSP03625_20211111_01.jpg,Good,3
RSP03626,6e970f3d-4210-4534-aa5b-fe6f78966ec8,2021-11-11,-33.87357872,121.9015221,Esperance,6.6KV HV SUBSTATION 0,Ground,Comms Room,IT & Communications,IT,Communications Cabinet (Rack),No,,101914,1,3 - Good,RSP03626_Q101914_20211111_01.jpg,Good,3
RSP03755,4385aae3-d8a9-41ed-94a8-25e8d1968a6c,2021-11-09,-33.87085123,121.8940173,Esperance,6.6KV HV SUBSTATION 1,Ground,External,HVAC,Air Conditioning,Outdoor Condenser Unit (Split),Yes,,101127,1,3 - Good,RSP03755_Q101127_20211109_01.jpg,Good,3
RSP03756,28083d62-00b8-44c3-bc53-3eb1ecabfbe6,2021-11-09,-33.87088378,121.8940418,Esperance,6.6KV HV SUBSTATION 1,Ground,SB9503,Electrical,Power Distribution,HV Switch,No,101130,101129,1,3 - Good,RSP03756_Q101129_20211109_01.jpg,Good,3
RSP03757,0285eb44-cbd4-46fb-8995-f80f2f9306fb,2021-11-09,-33.87087571,121.8940351,Esperance,6.6KV HV SUBSTATION 1,Ground,SB9503,Electrical,Power Distribution,HV Switch,No,101130,101137,1,3 - Good,RSP03757_Q101137_20211109_01.jpg,Good,3
RSP03758,caa1c2b3-070a-41ea-96df-babbbf39672d,2021-11-09,-33.87087571,121.8940351,Esperance,6.6KV HV SUBSTATION 1,Ground,SB9503,Electrical,Power Distribution,HV Switch,No,101130,101132,1,3 - Good,RSP03758_Q101132_20211109_01.jpg,Good,3
RSP03759,1ccc7f9a-c569-4e28-907f-9b764d22d149,2021-11-09,-33.87087571,121.8940351,Esperance,6.6KV HV SUBSTATION 1,Ground,SB9503,Electrical,Power Distribution,HV Switch,No,101130,101134,1,3 - Good,RSP03759_Q101134_20211109_01.jpg,Good,3
