Reduxo ID,Fulcrum ID,Date,Latitude,Longitude,Site,Space,Level,Location Description,Asset Category,Asset Sub Category,Asset Type,GPS With Arrow,Parent QR Code,QR Code,Quantity,Asset Description,Asset ID Label,Make,Model,Serial,Capacity,Last Service Date,Manufacture Date,Condition,Comments,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Defect Description,dafasdfasdf,Defect Photo 1,GPS Altitude,GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS Speed,GPS Course
RSP00001,701826fa-75ef-4319-b110-9ee3e260b864,2021-12-21,-35.03074065,117.8953053,Albany,Admin Building,Ground,Bike Shed,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,102054,1,,#3,,ABE,,4.5kg,Jul-2021,,3 - Good,,,,,,,,,,,,,,,
RSP00002,72cfe468-8dcf-410d-8869-e0a7c6c9d85b,2021-12-21,-35.03074449,117.8953181,Albany,Admin Building,Ground,Bike Shed,Furniture & Fittings,Furniture,Shelf Racking,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00003,6bb106d6-5a44-4b03-9cfe-2fc38c3a0bb9,2021-12-20,-35.03078952,117.895312,Albany,Admin Building,Ground,Bike Shed,IT & Communications,IT,Other,No,,105865,1,Underwater Drone,,Subsea Tech,Mini-ROV,,,,,3 - Good,,RSP00003_Q105865_20211220_01.jpg,RSP00003_Q105865_20211220_02.jpg,RSP00003_Q105865_20211220_03.jpg,,,,,,,,,,,
RSP00004,f75dceb1-e86d-44a3-a03a-34bc9def0145,2021-12-21,-35.03074065,117.8953053,Albany,Admin Building,Ground,Bike Shed,Kitchen Equipment,Refrigeration,Freezer,No,,,1,,,Haier,,,,,,3 - Good,,RSP00004_20211221_01.jpg,,,,,,,,,,,,,
RSP00005,5a34d476-281c-41a2-8930-d4e513c3775c,2021-12-21,-35.03074065,117.8953053,Albany,Admin Building,Ground,Bike Shed,Kitchen Equipment,Refrigeration,Refrigerator - Bar (Small),No,,,1,,Enviro Fridge,NEC,FR-054R,,,,,3 - Good,,RSP00005_20211221_01.jpg,,,,,,,,,,,,,
RSP00006,2601231e-9d96-4f3f-acc4-1135e1aa7fc3,2021-12-21,-35.03074449,117.8953181,Albany,Admin Building,Ground,Bike Shed,Electrical,Lighting,Fluorescent Light - Double,No,,,2,,,,,,,,,3 - Good,,,,,,,,,,,,,,,
RSP00007,6651ca09-9de1-429b-9eb6-fde157169f37,2021-12-20,-35.0307385,117.8953772,Albany,Admin Building,Ground,Bike Shed,Port Specific,Ship Loader,Grabber,No,,105866,1,Marine Sediment Sampling,,KC,Van Veen Grab 12.110,,,,,3 - Good,,RSP00007_Q105866_20211220_01.jpg,,,,,,,,,-16,1158.281,,,
RSP00008,0475c72a-12c0-40bc-af41-45dcea9fbf58,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Power Distribution,Automatic Transfer Switch (ATS),No,,106000,1,,,,,,,,,3 - Good,,RSP00008_Q106000_20211221_01.jpg,,,,,,,,,,,,,
RSP00009,01bb86e4-2773-4fba-9350-b25ff9326724,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Power Distribution,Battery Charger,No,,105999,1,Solar Inverter,,Sunny Tripower,STP 15000TL-30,1901262451,"15,000W",,02-Mar-2020,3 - Good,,RSP00009_Q105999_20211221_01.jpg,RSP00009_Q105999_20211221_02.jpg,,,,,,,,,,,,
RSP00010,6cb8e2b2-1e61-4c6e-b882-717c8e1ace89,2021-12-21,-35.03076234,117.8952896,Albany,Admin Building,Ground,Generator Room,Electrical,Power Generation,Diesel Generator,No,,105997,1,,,Pramac,GSW110P3P1,125571,110kVA,,,3 - Good,,RSP00010_Q105997_20211221_01.jpg,,,,,,,,,,,,,
